,name,rating,volumes,date,url
31,86,8.81,Light Novel (? vols),Feb 2017 -,https://myanimelist.net/manga/104039/86
32,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.79,Manga (3 vols),Aug 2016 - Oct 2017,https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta_Ichinen_ni_Tsuki_Ichimanen_de
33,Re:Zero kara Hajimeru Isekai Seikatsu,8.79,Light Novel (? vols),Jan 2014 -,https://myanimelist.net/manga/74697/Re_Zero_kara_Hajimeru_Isekai_Seikatsu
34,Mushoku Tensei: Isekai Ittara Honki Dasu,8.78,Light Novel (26 vols),Jan 2014 - Nov 2022,https://myanimelist.net/manga/70261/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
35,Nana,8.78,Manga (21 vols),May 2000 - May 2009,https://myanimelist.net/manga/28/Nana
36,Uchuu Kyoudai,8.78,Manga (? vols),Dec 2007 -,https://myanimelist.net/manga/14483/Uchuu_Kyoudai
37,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.77,Light Novel (18 vols),Mar 2011 - Apr 2021,https://myanimelist.net/manga/40171/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru
38,Made in Abyss,8.77,Manga (? vols),Oct 2012 -,https://myanimelist.net/manga/91941/Made_in_Abyss
39,Chainsaw Man,8.75,Manga (? vols),Dec 2018 -,https://myanimelist.net/manga/116778/Chainsaw_Man
40,One Punch-Man,8.75,Manga (? vols),Jun 2012 -,https://myanimelist.net/manga/44347/One_Punch-Man
41,Hunter x Hunter,8.73,Manga (? vols),Mar 1998 -,https://myanimelist.net/manga/26/Hunter_x_Hunter
42,Mushishi,8.72,Manga (10 vols),Nov 1999 - Aug 2008,https://myanimelist.net/manga/418/Mushishi
43,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.72,Light Novel (? vols),Jan 2015 -,https://myanimelist.net/manga/86119/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen
44,Utsuro no Hako to Zero no Maria,8.71,Light Novel (7 vols),Jan 2009 - Jun 2015,https://myanimelist.net/manga/55215/Utsuro_no_Hako_to_Zero_no_Maria
45,Hajime no Ippo,8.71,Manga (? vols),Sep 1989 -,https://myanimelist.net/manga/7/Hajime_no_Ippo
46,Kokou no Hito,8.71,Manga (17 vols),Nov 2007 - Oct 2011,https://myanimelist.net/manga/7375/Kokou_no_Hito
47,Sayonara Eri,8.71,Manga (1 vols),Apr 2022 - Apr 2022,https://myanimelist.net/manga/145863/Sayonara_Eri
48,Shoujo Shuumatsu Ryokou,8.70,Manga (6 vols),Feb 2014 - Jan 2018,https://myanimelist.net/manga/72467/Shoujo_Shuumatsu_Ryokou
49,Death Note,8.70,Manga (12 vols),Dec 2003 - May 2006,https://myanimelist.net/manga/21/Death_Note
50,Beck,8.69,Manga (34 vols),Feb 2000 - Jun 2008,https://myanimelist.net/manga/145/Beck
51,Kono Oto Tomare!,8.69,Manga (? vols),Aug 2012 -,https://myanimelist.net/manga/45143/Kono_Oto_Tomare
52,Yokohama Kaidashi Kikou,8.68,Manga (14 vols),Apr 1994 - Feb 2006,https://myanimelist.net/manga/4/Yokohama_Kaidashi_Kikou
53,Akira,8.68,Manga (6 vols),Dec 1982 - Jun 1990,https://myanimelist.net/manga/664/Akira
54,Dorohedoro,8.68,Manga (23 vols),Nov 2000 - Sep 2018,https://myanimelist.net/manga/1133/Dorohedoro
55,Solo Leveling,8.68,Manhwa (? vols),Mar 2018 - May 2023,https://myanimelist.net/manga/121496/Solo_Leveling
56,The Horizon,8.68,Manhwa (3 vols),Mar 2016 - Jul 2016,https://myanimelist.net/manga/125036/The_Horizon
